id,site_uid,parish_uid,is_active,region,town,parish_name,parish_label,site_name,latitude,longitude,maps_query,day_of_week,time_24h,mass_category,is_mass_only_visible,is_vigil_for_sunday,sunday_obligation_eligible,occurrence_rule,special_rule,qualifier,language_code,language_rule,context_note,source_url,source_label_en,source_label_fr,source_last_batch_reconciled_at,coordinate_precision,confidence_score,display_category,service_type,vigil_label_en,vigil_label_fr,search_text
row-0001,basses-plaines-wilhems-notre-dame-de-lourdes-chapelle-du-montmartre-rose-hill,basses-plaines-wilhems-notre-dame-de-lourdes,True,Basses Plaines Wilhems,Rose-Hill,Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,Chapelle du Montmartre,-20.23996,57.4729,"Chapelle du Montmartre, Rose-Hill, Notre-Dame-de-Lourdes, Basses Plaines Wilhems, Mauritius",Lundi,06:30,Mass,True,False,False,,,,FR,,,https://dioceseportlouis.org/diocese/les-paroisses/basses-plaines-wilhems/notre-dame-de-lourdes-1890,Parent parish page — Notre-Dame-de-Lourdes,Page de la paroisse mère — Notre-Dame-de-Lourdes,2026-06-21,exact_site_approx,86,Mass,Mass,,,basses plaines wilhems rose hill notre dame de lourdes chapelle du montmartre mauritius lundi 0630 mass
row-0002,basses-plaines-wilhems-notre-dame-de-lourdes-chapelle-du-montmartre-rose-hill,basses-plaines-wilhems-notre-dame-de-lourdes,True,Basses Plaines Wilhems,Rose-Hill,Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,Chapelle du Montmartre,-20.23996,57.4729,"Chapelle du Montmartre, Rose-Hill, Notre-Dame-de-Lourdes, Basses Plaines Wilhems, Mauritius",Mardi,06:30,Mass,True,False,False,,,,FR,,,https://dioceseportlouis.org/diocese/les-paroisses/basses-plaines-wilhems/notre-dame-de-lourdes-1890,Parent parish page — Notre-Dame-de-Lourdes,Page de la paroisse mère — Notre-Dame-de-Lourdes,2026-06-21,exact_site_approx,86,Mass,Mass,,,basses plaines wilhems rose hill notre dame de lourdes chapelle du montmartre mauritius mardi 0630 mass
row-0003,basses-plaines-wilhems-notre-dame-de-lourdes-chapelle-du-montmartre-rose-hill,basses-plaines-wilhems-notre-dame-de-lourdes,True,Basses Plaines Wilhems,Rose-Hill,Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,Chapelle du Montmartre,-20.23996,57.4729,"Chapelle du Montmartre, Rose-Hill, Notre-Dame-de-Lourdes, Basses Plaines Wilhems, Mauritius",Mercredi,06:30,Mass,True,False,False,,,,FR,,,https://dioceseportlouis.org/diocese/les-paroisses/basses-plaines-wilhems/notre-dame-de-lourdes-1890,Parent parish page — Notre-Dame-de-Lourdes,Page de la paroisse mère — Notre-Dame-de-Lourdes,2026-06-21,exact_site_approx,86,Mass,Mass,,,basses plaines wilhems rose hill notre dame de lourdes chapelle du montmartre mauritius mercredi 0630 mass
row-0004,basses-plaines-wilhems-notre-dame-de-lourdes-chapelle-du-montmartre-rose-hill,basses-plaines-wilhems-notre-dame-de-lourdes,True,Basses Plaines Wilhems,Rose-Hill,Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,Chapelle du Montmartre,-20.23996,57.4729,"Chapelle du Montmartre, Rose-Hill, Notre-Dame-de-Lourdes, Basses Plaines Wilhems, Mauritius",Jeudi,06:30,Non-Mass,False,False,False,,Célébration at Chapelle du Montmartre,,,,,https://dioceseportlouis.org/diocese/les-paroisses/basses-plaines-wilhems/notre-dame-de-lourdes-1890,Parent parish page — Notre-Dame-de-Lourdes,Page de la paroisse mère — Notre-Dame-de-Lourdes,2026-06-21,exact_site_approx,86,Other celebration,Other Celebration,,,basses plaines wilhems rose hill notre dame de lourdes chapelle du montmartre mauritius jeudi 0630
row-0005,basses-plaines-wilhems-notre-dame-de-lourdes-chapelle-du-montmartre-rose-hill,basses-plaines-wilhems-notre-dame-de-lourdes,True,Basses Plaines Wilhems,Rose-Hill,Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,Chapelle du Montmartre,-20.23996,57.4729,"Chapelle du Montmartre, Rose-Hill, Notre-Dame-de-Lourdes, Basses Plaines Wilhems, Mauritius",Samedi,06:30,Mass,True,False,False,,,,FR,,,https://dioceseportlouis.org/diocese/les-paroisses/basses-plaines-wilhems/notre-dame-de-lourdes-1890,Parent parish page — Notre-Dame-de-Lourdes,Page de la paroisse mère — Notre-Dame-de-Lourdes,2026-06-21,exact_site_approx,86,Mass,Mass,,,basses plaines wilhems rose hill notre dame de lourdes chapelle du montmartre mauritius samedi 0630 mass
row-0006,basses-plaines-wilhems-notre-dame-de-lourdes-notre-dame-de-lourdes-rose-hill,basses-plaines-wilhems-notre-dame-de-lourdes,True,Basses Plaines Wilhems,Rose-Hill,Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,-20.241313,57.472687,"Notre-Dame-de-Lourdes, Rose-Hill, Basses Plaines Wilhems, Mauritius",Vendredi,11:00,Mass,True,False,False,,,,FR,,,https://dioceseportlouis.org/diocese/les-paroisses/basses-plaines-wilhems/notre-dame-de-lourdes-1890,Source,Source,2026-06-21,exact_site_approx,88,Mass,Mass,,,basses plaines wilhems rose hill notre dame de lourdes mauritius vendredi 1100 mass
row-0007,basses-plaines-wilhems-notre-dame-de-lourdes-notre-dame-de-lourdes-rose-hill,basses-plaines-wilhems-notre-dame-de-lourdes,True,Basses Plaines Wilhems,Rose-Hill,Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,-20.241313,57.472687,"Notre-Dame-de-Lourdes, Rose-Hill, Basses Plaines Wilhems, Mauritius",Samedi,16:00,Mass,True,True,True,,,,FR,,"In Mauritius, Saturday Masses from 3:00 pm are generally treated as Sunday obligation.",https://dioceseportlouis.org/diocese/les-paroisses/basses-plaines-wilhems/notre-dame-de-lourdes-1890,Source,Source,2026-06-21,exact_site_approx,88,Mass,Mass,Saturday Mass — generally treated as Sunday obligation from 15:00,Messe du samedi — généralement messe anticipée du dimanche à partir de 15h,basses plaines wilhems rose hill notre dame de lourdes mauritius samedi 1600 mass
row-0008,basses-plaines-wilhems-notre-dame-de-lourdes-notre-dame-de-lourdes-rose-hill,basses-plaines-wilhems-notre-dame-de-lourdes,True,Basses Plaines Wilhems,Rose-Hill,Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,-20.241313,57.472687,"Notre-Dame-de-Lourdes, Rose-Hill, Basses Plaines Wilhems, Mauritius",Samedi,18:00,Mass,True,True,True,,,,FR,,"In Mauritius, Saturday Masses from 3:00 pm are generally treated as Sunday obligation.",https://dioceseportlouis.org/diocese/les-paroisses/basses-plaines-wilhems/notre-dame-de-lourdes-1890,Source,Source,2026-06-21,exact_site_approx,88,Mass,Mass,Saturday Mass — generally treated as Sunday obligation from 15:00,Messe du samedi — généralement messe anticipée du dimanche à partir de 15h,basses plaines wilhems rose hill notre dame de lourdes mauritius samedi 1800 mass
row-0009,basses-plaines-wilhems-notre-dame-de-lourdes-notre-dame-de-lourdes-rose-hill,basses-plaines-wilhems-notre-dame-de-lourdes,True,Basses Plaines Wilhems,Rose-Hill,Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,-20.241313,57.472687,"Notre-Dame-de-Lourdes, Rose-Hill, Basses Plaines Wilhems, Mauritius",Dimanche,08:00,Mass,True,False,True,,,,FR,,,https://dioceseportlouis.org/diocese/les-paroisses/basses-plaines-wilhems/notre-dame-de-lourdes-1890,Source,Source,2026-06-21,exact_site_approx,88,Mass,Mass,,,basses plaines wilhems rose hill notre dame de lourdes mauritius dimanche 0800 mass
row-0010,basses-plaines-wilhems-notre-dame-de-lourdes-notre-dame-de-lourdes-rose-hill,basses-plaines-wilhems-notre-dame-de-lourdes,True,Basses Plaines Wilhems,Rose-Hill,Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,-20.241313,57.472687,"Notre-Dame-de-Lourdes, Rose-Hill, Basses Plaines Wilhems, Mauritius",Dimanche,10:00,Mass,True,False,True,,,,FR,,,https://dioceseportlouis.org/diocese/les-paroisses/basses-plaines-wilhems/notre-dame-de-lourdes-1890,Source,Source,2026-06-21,exact_site_approx,88,Mass,Mass,,,basses plaines wilhems rose hill notre dame de lourdes mauritius dimanche 1000 mass
