site_uid,site_name,parish_name,town,latitude,longitude,coordinate_precision_final,coordinate_confidence,coordinate_source,coordinate_verified_at
basses-plaines-wilhems-notre-dame-de-lourdes-chapelle-du-montmartre-rose-hill,Chapelle du Montmartre,Notre-Dame-de-Lourdes,Rose-Hill,-20.241,57.471,,0.65,duplicate_or_area_coordinate,2026-05-02
basses-plaines-wilhems-notre-dame-de-lourdes-notre-dame-de-lourdes-rose-hill,Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,Rose-Hill,-20.241313,57.472687,,0.88,GCatholic Google Maps plus code,2026-05-02
basses-plaines-wilhems-notre-dame-de-mont-roches-notre-dame-de-mont-roches-roches-brunes,Notre-Dame-de-Mont-Roches,Notre-Dame-de-Mont-Roches,Roches-Brunes,-20.233563,57.457438,,0.88,GCatholic Google Maps plus code,2026-05-02
basses-plaines-wilhems-notre-dame-du-rosaire-notre-dame-du-rosaire-quatre-bornes,Notre-Dame-du-Rosaire,Notre-Dame-du-Rosaire,Quatre-Bornes,-20.265063,57.475062,,0.88,GCatholic Google Maps plus code,2026-05-02
basses-plaines-wilhems-notre-dame-du-rosaire-saint-luc-cite-kennedy,Saint-Luc,Notre-Dame-du-Rosaire,Cité-Kennedy,-20.27637,57.47384,,0.86,WorldPlaces GPS coordinate for Eglise St Luc Cite Kennedy,2026-05-02
basses-plaines-wilhems-notre-dame-du-rosaire-saint-thomas-beaux-songes,Saint-Thomas,Notre-Dame-du-Rosaire,Beaux-Songes,-20.2787687,57.4239878,,0.90,Near-Place Google Maps-linked listing and Cartogiraffe chapel listing,2026-05-02
basses-plaines-wilhems-notre-dame-du-rosaire-sainte-brigitte-pierrefonds,Sainte-Brigitte,Notre-Dame-du-Rosaire,Pierrefonds,-20.28928,57.4451,,0.92,Mapcarta / OpenStreetMap church node 424958986 after v24.22.2 recheck,2026-05-02
basses-plaines-wilhems-sacre-cur-emmaus-coromandel,Emmaüs,Sacré-Cœur,Coromandel,-20.19,57.467,,0.45,locality_level_only,2026-05-02
basses-plaines-wilhems-sacre-cur-leau-vive-chebel,L’Eau Vive,Sacré-Cœur,Chebel,-20.227,57.44,,0.45,locality_level_only,2026-05-02
basses-plaines-wilhems-sacre-cur-notre-dame-de-la-confiance-barkly,Notre-Dame-de-la-Confiance,Sacré-Cœur,Barkly,-20.222,57.466,,0.45,locality_level_only,2026-05-02
basses-plaines-wilhems-sacre-cur-sacre-cur-beau-bassin,Sacré-Cœur,Sacré-Cœur,Beau-Bassin,-20.240313,57.472938,,0.88,GCatholic Google Maps plus code,2026-05-02
basses-plaines-wilhems-saint-jean-saint-jean-quatre-bornes,Saint-Jean,Saint-Jean,Quatre-Bornes,-20.255938,57.486937,,0.88,GCatholic Google Maps plus code,2026-05-02
basses-plaines-wilhems-saint-patrick-saint-patrick-rose-hill,Saint-Patrick,Saint-Patrick,Rose-Hill,-20.252938,57.472438,,0.88,GCatholic Google Maps plus code,2026-05-02
basses-plaines-wilhems-saint-pierre-es-liens-notre-dame-du-bon-conseil-moka,Notre-Dame-du-Bon-Conseil,Saint Pierre-ès-Liens,Moka,-20.219,57.495,,0.74,prior_unique_church_coordinate_not_door_verified,2026-05-02
basses-plaines-wilhems-saint-pierre-es-liens-saint-pierre-es-liens-saint-pierre,Saint-Pierre-ès-Liens,Saint Pierre-ès-Liens,Saint-Pierre,-20.222313,57.537062,,0.88,GCatholic Google Maps plus code,2026-05-02
basses-plaines-wilhems-sainte-anne-couvent-des-surs-holy-trinity-plaisance,Couvent des Sœurs Holy Trinity,Sainte-Anne,Plaisance,-20.231,57.48,,0.45,locality_level_only,2026-05-02
basses-plaines-wilhems-sainte-anne-sainte-anne-stanley-rose-hill,Sainte-Anne,Sainte-Anne,"Stanley, Rose-Hill",-20.246813,57.466062,,0.88,GCatholic Google Maps plus code,2026-05-02
basses-plaines-wilhems-sainte-odile-saint-odile-camp-levieux-rose-hill,Saint-Odile,Sainte-Odile,"Camp-Levieux, Rose-Hill",-20.246563,57.454438,,0.88,GCatholic Google Maps plus code after v24.22.2 recheck,2026-05-02
hautes-plaines-wilhems-notre-dame-de-la-visitation-notre-dame-de-la-visitation-vacoas,Notre-Dame-de-la-Visitation,Notre-Dame-de-la-Visitation,Vacoas,-20.300063,57.484437,,0.88,GCatholic Google Maps plus code after v24.22.2 recheck,2026-05-02
hautes-plaines-wilhems-notre-dame-de-la-visitation-sacre-cur-glen-park,Sacré-Cœur,Notre-Dame-de-la-Visitation,Glen-Park,-20.306,57.506,,0.74,prior_unique_church_coordinate_not_door_verified,2026-05-02
hautes-plaines-wilhems-notre-dame-de-la-visitation-sainte-famille-henrietta,Sainte-Famille,Notre-Dame-de-la-Visitation,Henrietta,-20.336,57.5,,0.74,prior_unique_church_coordinate_not_door_verified,2026-05-02
hautes-plaines-wilhems-saint-paul-saint-paul-phoenix,Saint-Paul,Saint-Paul,Phoenix,-20.289563,57.510062,,0.88,GCatholic Google Maps plus code,2026-05-02
hautes-plaines-wilhems-sainte-helene-notre-dame-de-lourdes-curepipe,Notre-Dame-de-Lourdes,Sainte-Hélène,Curepipe,-20.318,57.526,,0.45,locality_level_only,2026-05-02
hautes-plaines-wilhems-sainte-helene-saint-jean-bosco-curepipe,Saint-Jean-Bosco,Sainte-Hélène,Mangalkhan,-20.30372,57.50608,,0.93,Mapcarta/OpenStreetMap chapelle St. Jean Bosco building evidence,2026-05-02
hautes-plaines-wilhems-sainte-helene-sainte-helene-curepipe,Sainte-Hélène,Sainte-Hélène,Curepipe,-20.311563,57.524313,,0.88,GCatholic Google Maps plus code,2026-05-02
hautes-plaines-wilhems-sainte-therese-davila-sainte-therese-davila-curepipe,Sainte-Thérèse-d’Avila,Sainte-Thérèse-d’Avila,Curepipe,-20.31959,57.52453,,0.92,Mapcarta / OSM building coordinate; GCatholic Google Maps plus code cross-check,2026-05-02
port-louis-cathedrale-saint-louis-cathedrale-saint-louis-port-louis,Cathédrale Saint-Louis,Cathédrale Saint-Louis,Port-Louis,-20.16454,57.50646,,0.92,Mapcarta / OSM way 158575993; GCatholic Google Maps plus code cross-check,2026-05-02
port-louis-cathedrale-saint-louis-sainte-anne-tranquebar,Sainte-Anne,Cathédrale Saint-Louis,Tranquebar,-20.17381,57.50931,,0.93,Mapcarta/OpenStreetMap St. Anne Church building evidence,2026-05-02
port-louis-immaculee-conception-immaculee-conception-port-louis,Immaculée-Conception,Immaculée-Conception,Port-Louis,-20.16594,57.50058,,0.89,WorldPlaces direct church coordinate cross-checked with diocesan Rue Saint-Georges address,2026-05-02
port-louis-notre-dame-de-l-assomption-notre-dame-de-l-assomption-roche-bois,Notre-Dame-de-l'Assomption,Notre-Dame-de-l'Assomption,Roche-Bois,-20.145,57.51,,0.45,locality_level_only,2026-05-02
port-louis-saint-francois-xavier-saint-antoine-trou-fanfaron,Saint-Antoine,Saint-François-Xavier,Trou Fanfaron,-20.1546315,57.5059873,,0.90,Near-Place Google Maps-linked listing; Mapcarta OSM church page cross-check,2026-05-02
port-louis-saint-francois-xavier-saint-francois-xavier-port-louis,Saint-François-Xavier,Saint-François-Xavier,Port-Louis,-20.15473,57.51408,,0.92,Mapcarta / OSM way 495709600; GCatholic Google Maps plus code cross-check,2026-05-02
port-louis-saint-malo-bon-pasteur-baie-du-tombeau,Bon-Pasteur,Saint-Malo,Baie du Tombeau,-20.131,57.495,,0.65,duplicate_or_area_coordinate,2026-05-02
port-louis-saint-malo-bon-pasteur-elizabethville,Bon-Pasteur,Saint-Malo,Elizabethville,-20.125,57.496,,0.74,prior_unique_church_coordinate_not_door_verified,2026-05-02
port-louis-saint-malo-saint-malo-baie-du-tombeau,Saint-Malo,Saint-Malo,Baie du Tombeau,-20.114812,57.502437,,0.88,GCatholic Google Maps plus code,2026-05-02
port-louis-saint-sacrement-saint-jean-de-britto-cassis,Saint-Jean-de-Britto,Saint-Sacrement,Cassis,-20.16301,57.49239,,0.93,Mapcarta/OpenStreetMap church-building evidence,2026-05-02
port-louis-saint-sacrement-saint-sacrement-cassis,Saint-Sacrement,Saint-Sacrement,Cassis,-20.16386,57.48264,,0.86,WorldPlaces direct church/place coordinate,2026-05-02
port-louis-saint-vincent-de-paul-saint-vincent-de-paul-pailles,Saint-Vincent-de-Paul,Saint-Vincent-de-Paul,Pailles,-20.1913,57.48486,,0.86,WorldPlaces direct Eglise Saint Vincent De Paul Pailles coordinate,2026-05-02
port-louis-sainte-croix-centre-chapelle-saint-esprit-sainte-croix,Centre Chapelle Saint-Esprit,Sainte-Croix,Sainte-Croix,-20.145,57.521,,0.45,locality_level_only,2026-05-02
port-louis-sainte-croix-sainte-croix-port-louis,Sainte-Croix,Sainte-Croix,Port-Louis,-20.148126,57.529196,,0.90,GeoNames / geoview Sainte Croix Roman Catholic Chapel coordinate; diocesan Sainte-Croix parish page confirms site,2026-05-02
